SKU,English Name,Italian Name,Category,Collection,Material,Origin,Shape,Primary Color,Price (€),Stock,Featured,Best Seller,SEO Title,SEO Description,Alt Text
AK-001,Royal Afghan Mosaic Runner,Tappeto Runner Mosaico Reale Afghano,Afghan Runner,Heritage Collection,Hand-Knotted Wool,Afghanistan,Runner,Rust Blue,799,1,Yes,No,Royal Afghan Mosaic Runner | Hand-Knotted Rug,Authentic Afghan hand-knotted runner featuring vibrant geometric motifs.,Royal Afghan Mosaic Runner in rust and blue tones
AK-002,Nomad Heritage Runner,Runner Nomade Heritage,Afghan Runner,Nomad Collection,Hand-Knotted Wool,Afghanistan,Runner,Rust & Navy,899,1,Yes,Yes,Nomad Heritage Runner | Afghan Tappeti,Premium Afghan runner with traditional tribal craftsmanship.,Hand-knotted Afghan runner with tribal geometric design
AK-003,Heritage Corridor Runner,Runner Heritage per Corridoio,Afghan Runner,Heritage Collection,Hand-Knotted Wool,Afghanistan,Runner,Rust,749,1,No,No,Heritage Corridor Runner,Traditional Afghan runner for hallways and entrances.,Long Afghan runner with classic geometric motifs
AK-004,Afghan Mosaic Accent Rug,Tappeto Mosaico Afghano,Afghan Kilim,Artisan Collection,Hand-Knotted Wool,Afghanistan,Rectangle,Blue Rust,699,1,No,No,Afghan Mosaic Accent Rug,Compact Afghan handmade rug with rich mosaic design.,Small handmade Afghan mosaic rug
AK-005,Tribal Mosaic Rug,Tappeto Tribale a Mosaico,Afghan Kilim,Heritage Collection,Hand-Knotted Wool,Afghanistan,Rectangle,Blue,749,1,No,No,Tribal Mosaic Rug,Handmade tribal rug with authentic Afghan artistry.,Blue Afghan tribal rug with mosaic details
AK-006,Heritage Panel Rug,Tappeto Heritage a Pannelli,Afghan Kilim,Heritage Collection,Hand-Knotted Wool,Afghanistan,Rectangle,Multicolor,799,1,No,No,Heritage Panel Rug,Traditional panel-pattern Afghan handmade rug.,Afghan panel rug with vibrant colors
AK-007,Royal Patchwork Kilim,Kilim Patchwork Reale,Patchwork,Contemporary Collection,Hand-Knotted Wool,Afghanistan,Rectangle,Terracotta,899,1,Yes,No,Royal Patchwork Kilim,Elegant patchwork kilim crafted by Afghan artisans.,Patchwork Afghan kilim in terracotta shades
AK-008,Artisan Heritage Carpet,Tappeto Heritage Artigianale,Afghan Kilim,Luxury Collection,Hand-Knotted Wool,Afghanistan,Rectangle,Rust Blue,1099,1,Yes,Yes,Artisan Heritage Carpet,Luxury Afghan carpet with timeless geometric patterns.,Premium Afghan heritage carpet
AK-009,Silk Road Heritage Rug,Tappeto Heritage Via della Seta,Afghan Kilim,Silk Road Collection,Hand-Knotted Wool,Afghanistan,Rectangle,Burgundy,999,1,No,Yes,Silk Road Heritage Rug,Traditional Afghan rug inspired by Silk Road artistry.,Afghan Silk Road handmade rug
AK-010,Ivory Heritage Carpet,Tappeto Heritage Avorio,Persian Inspired,Luxury Collection,Hand-Knotted Wool,Afghanistan,Rectangle,Ivory Beige,1299,1,Yes,No,Ivory Heritage Carpet,Elegant ivory handmade carpet blending Afghan craftsmanship with timeless design.,Ivory handmade heritage carpet
Description Template (EN),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Use this style for AK-001 (and adapt the product name for the others):,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Royal Afghan Mosaic Runner is a hand-knotted wool rug crafted by skilled Afghan artisans using traditional weaving techniques passed down through generations. Its intricate geometric motifs, rich rust and blue palette, and durable construction make it an exceptional choice for hallways, entrances, or elegant living spaces. Every rug is unique, reflecting authentic craftsmanship and cultural heritage while bringing warmth, character, and timeless beauty to modern or classic interiors.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Description Template (IT),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Il Royal Afghan Mosaic Runner è un tappeto in lana annodato a mano, realizzato da esperti artigiani afghani secondo antiche tecniche di tessitura tramandate da generazioni. I motivi geometrici, le tonalità di rosso ruggine e blu e la qualità della lavorazione lo rendono perfetto per ingressi, corridoi e ambienti raffinati. Ogni tappeto è un pezzo unico che dona calore, eleganza e autenticità a qualsiasi spazio.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Small suggestion,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Many of your rugs are one-of-a-kind. Instead of a simple Stock value, consider showing:",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Availability: In Stock / Sold / Reserved,,,,,,,,,,,,,,,
Unique Piece: Yes,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"This reflects how luxury rug stores present handmade pieces and gives customers more confidence that they're buying an authentic, individual item.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
